id,code,name
hr_ocupacion_9411001,9411001,Cocinero de comidas rápidas
hr_ocupacion_4413001,4413001,Codificador  de datos y corrector de pruebas de imprenta y afines.
hr_ocupacion_3511001,3511001,Codificador de datos
hr_ocupacion_2636012,2636012,Cofrade
hr_ocupacion_7534002,7534002,Colchonero
hr_ocupacion_7111003,7111003,"Colocador de piedras naturales (laja, mármol y otras piedras)"
hr_ocupacion_9334001,9334001,Colocador en estanterías
hr_ocupacion_2642002,2642002,Columnista
hr_ocupacion_7321008,7321008,Compaginador
hr_ocupacion_2652011,2652011,Compositor
hr_ocupacion_7512005,7512005,Confitero artesanal
hr_ocupacion_5153003,5153003,Conserje de establecimientos religioso
hr_ocupacion_5153001,5153001,Conserje de hotel
hr_ocupacion_5153002,5153002,Conserje en establecimientos no hoteleros
hr_ocupacion_2621003,2621003,Conservador  del patrimonio cultural
hr_ocupacion_7111002,7111002,Constructor de bahareque y otros materiales rústicos
hr_ocupacion_7312003,7312003,Constructor de instrumentos musicales de cuerdas
hr_ocupacion_7312002,7312002,Constructor de instrumentos musicales de percusión
hr_ocupacion_7312001,7312001,Constructor de instrumentos musicales de viento
hr_ocupacion_7111001,7111001,Constructor de ranchos
hr_ocupacion_2132002,2132002,Consultor forestal
hr_ocupacion_2411001,2411001,Contador general de empresa
hr_ocupacion_3333002,3333002,Contratista de mano de obra
hr_ocupacion_3133002,3133002,Controlador de alambique
hr_ocupacion_3133009,3133009,"Controlador de aparatos de reacción, conversión en productos químicos (excepto petróleo y gas natural)"
hr_ocupacion_3133012,3133012,Controlador de equipos de destilación y de reacción química
hr_ocupacion_3133013,3133013,Controlador de equipos de filtración y separación de sustancias químicas
hr_ocupacion_3135008,3135008,Controlador de hornos de minerales y de hornos de primera fusión de metales
hr_ocupacion_3135002,3135002,Controlador de hornos de segunda fusión de metales
hr_ocupacion_3133001,3133001,Controlador de instalaciones de abono artificial
hr_ocupacion_3133003,3133003,Controlador de instalaciones de producción de fibras sintéticas
hr_ocupacion_3133004,3133004,Controlador de instalaciones de tratamiento del petróleo crudo
hr_ocupacion_3133005,3133005,Controlador de instalaciones de tratamiento químico térmico
hr_ocupacion_3135003,3135003,Controlador de instalaciones de tratamiento térmico de metales
hr_ocupacion_3133015,3133015,Controlador de instalaciones de tratamientos químicos
hr_ocupacion_3133006,3133006,Controlador de instalaciones para la producción de cemento
hr_ocupacion_3133007,3133007,Controlador de instalaciones para tratamiento de látex y caucho
hr_ocupacion_3135005,3135005,Controlador de laminadoras de metales
hr_ocupacion_3133010,3133010,Controlador de máquina de licuefacción de gases
hr_ocupacion_3135010,3135010,Controlador de máquina estiradoras de metales
hr_ocupacion_3133011,3133011,Controlador de máquina evaporadoras de procesos químicos (excepto petróleo y gas natural)
hr_ocupacion_3135009,3135009,Controlador de máquina moldeadora de metales
hr_ocupacion_3135006,3135006,Controlador de máquina trefiladoras de metales
hr_ocupacion_3133008,3133008,"Controlador de maquinas separadoras, centrifugadoras para tratamientos químicos"
hr_ocupacion_3133014,3133014,Controlador de productos químicos (excepto petróleo)
hr_ocupacion_3154001,3154001,Controlador de tráfico aéreo
hr_ocupacion_3153002,3153002,Copiloto de avión
hr_ocupacion_2653003,2653003,Coreógrafo
hr_ocupacion_4413002,4413002,Corrector ortográfico
hr_ocupacion_3321002,3321002,Corredor de seguros
hr_ocupacion_2642005,2642005,Corresponsal
hr_ocupacion_7111004,7111004,Cortador de planchas prefabricadas
hr_ocupacion_7532003,7532003,"Cortador de tela, cuero y afines"
hr_ocupacion_7315001,7315001,Cortador de vidrio
hr_ocupacion_7536004,7536004,Cortador y cocedor de calzado
hr_ocupacion_5142004,5142004,Cosmetólogo
hr_ocupacion_7533001,7533001,Costurera
hr_ocupacion_2511001,2511001,Creador de sistemas informáticos
hr_ocupacion_6129001,6129001,Criador de animales domésticos diversos
hr_ocupacion_2619004,2619004,Criminalista
hr_ocupacion_2619003,2619003,Criminólogo
hr_ocupacion_5164002,5164002,Cuidador de animales en reservas naturales o parques zoológicos
hr_ocupacion_5142003,5142003,Cultor de belleza
hr_ocupacion_5169001,5169001,Curandero
hr_ocupacion_7535003,7535003,Curtidor
hr_ocupacion_5162001,5162001,Dama de compañía
hr_ocupacion_3331002,3331002,Declarante de aduanas
hr_ocupacion_3432002,3432002,Decorador de interiores
hr_ocupacion_2163002,2163002,Decorador de teatro
hr_ocupacion_2261001,2261001,Dentista
hr_ocupacion_5242002,5242002,Dependiente de almacen o demostrador de productos
